Accepted Symbol,Scientific Name,Common Name,Active Growth Period,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Shape and Orientation,Anaerobic Tolerance,Drought Tolerance,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Minimum","Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Fruit/Seed Period Begin,Fruit/Seed Period End,Berry/Nut/Seed Product,Palatable Human,Protein Potential
TEFIP,Tetramolopium filiforme var. polyphyllum,ridgetop tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TEHU,Tetramolopium humile,alpine tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TEHUH,Tetramolopium humile ssp. haleakalae,Haleakala tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TEHUH2,Tetramolopium humile ssp. humile,alpine tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TEHUH3,Tetramolopium humile ssp. humile var. humile,alpine tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TEHUS2,Tetramolopium humile ssp. humile var. sublaeve,alpine tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TELE2,Tetramolopium lepidotum,Waianae Range tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TELEA,Tetramolopium lepidotum ssp. arbusculum,Waianae Range tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TELEL2,Tetramolopium lepidotum ssp. lepidotum,Waianae Range tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TERE3,Tetramolopium remyi,Awalua Ridge tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TERO,Tetramolopium rockii,dune tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
TEROC,Tetramolopium rockii var. calcisabulorum,dune tetramolopium,,,,,,,,,,,,,,,,,,,,,,,,,,
